STEP,PID,PX,PY,PPERIM,NID,NX,NY,NPERIM,REPX,REPY,MAG
1,0,-2.1800003051757812,-0.19999980926513672,True,2,-1.4400005340576172,0.8999996185302734,True,-18.81768877946684,-27.972234178624255,33.712776449658776
1,0,-2.1800003051757812,-0.19999980926513672,True,5,-0.5400009155273438,-1.0200004577636719,False,-7.44272881286835,3.7213687344475623,8.3212257173823
1,0,-2.1800003051757812,-0.19999980926513672,True,9,-1.2000007629394531,-1.6599998474121094,True,-6.7322226891578785,10.02964283080668,12.079592611092641
1,1,1.539999008178711,-0.26000022888183594,True,3,0.0,0.0,False,21.604608981484834,-3.6475369466191045,21.910354972473783
1,1,1.539999008178711,-0.26000022888183594,True,4,1.7599983215332031,-1.1000003814697266,True,-14.335895208718977,54.73723521765738,56.58341462574102
1,1,1.539999008178711,-0.26000022888183594,True,6,1.1799983978271484,0.6799993515014648,True,17.76476294655828,-46.38567056613079,49.671090549906616
1,2,-1.4400005340576172,0.8999996185302734,True,0,-2.1800003051757812,-0.19999980926513672,True,18.81768877946684,27.972234178624255,33.712776449658776
1,2,-1.4400005340576172,0.8999996185302734,True,3,0.0,0.0,False,-12.79982262819565,7.999882784883964,15.094157276415011
1,2,-1.4400005340576172,0.8999996185302734,True,7,0.2199993133544922,1.6399993896484375,True,-8.335730171552983,-3.7159271000346146,9.126473125239036
1,3,0.0,0.0,False,1,1.539999008178711,-0.26000022888183594,True,-21.604608981484834,3.6475369466191045,21.910354972473783
1,3,0.0,0.0,False,2,-1.4400005340576172,0.8999996185302734,True,12.79982262819565,-7.999882784883964,15.094157276415011
1,3,0.0,0.0,False,5,-0.5400009155273438,-1.0200004577636719,False,19.78877182473142,37.37874462693356,42.29380616847813
1,3,0.0,0.0,False,6,1.1799983978271484,0.6799993515014648,True,-27.643067876756362,-15.92990995946997,31.904564453315768
1,3,0.0,0.0,False,7,0.2199993133544922,1.6399993896484375,True,-2.295537755233985,-17.112237579726102,17.265519643807277
1,3,0.0,0.0,False,8,0.17999839782714844,-1.8600006103515625,True,-0.632411520888541,6.534979361180912,6.565508326307494
1,4,1.7599983215332031,-1.1000003814697266,True,1,1.539999008178711,-0.26000022888183594,True,14.335895208718977,-54.73723521765738,56.58341462574102
1,4,1.7599983215332031,-1.1000003814697266,True,6,1.1799983978271484,0.6799993515014648,True,1.9810715123425904,-6.07984004624419,6.394458485667876
1,4,1.7599983215332031,-1.1000003814697266,True,8,0.17999839782714844,-1.8600006103515625,True,11.116672071757824,5.347261852470862,12.335866701204683
1,5,-0.5400009155273438,-1.0200004577636719,False,0,-2.1800003051757812,-0.19999980926513672,True,7.44272881286835,-3.7213687344475623,8.3212257173823
1,5,-0.5400009155273438,-1.0200004577636719,False,3,0.0,0.0,False,-19.78877182473142,-37.37874462693356,42.29380616847813
1,5,-0.5400009155273438,-1.0200004577636719,False,8,0.17999839782714844,-1.8600006103515625,True,-29.079129084700956,33.925689115546945,44.68274980671446
1,5,-0.5400009155273438,-1.0200004577636719,False,9,-1.2000007629394531,-1.6599998474121094,True,38.790072110199645,37.61458820375352,54.03264698358245
1,6,1.1799983978271484,0.6799993515014648,True,1,1.539999008178711,-0.26000022888183594,True,-17.76476294655828,46.38567056613079,49.671090549906616
1,6,1.1799983978271484,0.6799993515014648,True,3,0.0,0.0,False,27.643067876756362,15.92990995946997,31.904564453315768
1,6,1.1799983978271484,0.6799993515014648,True,4,1.7599983215332031,-1.1000003814697266,True,-1.9810715123425904,6.07984004624419,6.394458485667876
1,6,1.1799983978271484,0.6799993515014648,True,7,0.2199993133544922,1.6399993896484375,True,22.710688772623406,-22.7107113336872,32.117780026163565
1,7,0.2199993133544922,1.6399993896484375,True,2,-1.4400005340576172,0.8999996185302734,True,8.335730171552983,3.7159271000346146,9.126473125239036
1,7,0.2199993133544922,1.6399993896484375,True,3,0.0,0.0,False,2.295537755233985,17.112237579726102,17.265519643807277
1,7,0.2199993133544922,1.6399993896484375,True,6,1.1799983978271484,0.6799993515014648,True,-22.710688772623406,22.7107113336872,32.117780026163565
1,8,0.17999839782714844,-1.8600006103515625,True,3,0.0,0.0,False,0.632411520888541,-6.534979361180912,6.565508326307494
1,8,0.17999839782714844,-1.8600006103515625,True,4,1.7599983215332031,-1.1000003814697266,True,-11.116672071757824,-5.347261852470862,12.335866701204683
1,8,0.17999839782714844,-1.8600006103515625,True,5,-0.5400009155273438,-1.0200004577636719,False,29.079129084700956,-33.925689115546945,44.68274980671446
1,8,0.17999839782714844,-1.8600006103515625,True,9,-1.2000007629394531,-1.6599998474121094,True,29.966092857139177,-4.342931216286417,30.279164002199312
1,9,-1.2000007629394531,-1.6599998474121094,True,0,-2.1800003051757812,-0.19999980926513672,True,6.7322226891578785,-10.02964283080668,12.079592611092641
1,9,-1.2000007629394531,-1.6599998474121094,True,5,-0.5400009155273438,-1.0200004577636719,False,-38.790072110199645,-37.61458820375352,54.03264698358245
1,9,-1.2000007629394531,-1.6599998474121094,True,8,0.17999839782714844,-1.8600006103515625,True,-29.966092857139177,4.342931216286417,30.279164002199312
2,0,-2.225632237,-0.220438176,True,2,-1.442917456,0.949914462,True,-16.456149243156858,-24.606022711675777,29.60170943713481
2,0,-2.225632237,-0.220438176,True,5,-0.543720354,-0.970138991,False,-7.241480813267295,3.22784096027066,7.928303830815226
2,0,-2.225632237,-0.220438176,True,9,-1.241130063,-1.688431885,True,-6.473428054537064,9.652545124521499,11.62225873736217
