STEP,PID,PX,PY,PPERIM,NID,NX,NY,NPERIM,COHX,COHY,MAG,DIST
1,0,-2.1800003051757812,-0.19999980926513672,True,2,-1.4400005340576172,0.8999996185302734,True,0.11099997007846696,0.16499992072581904,0.19886167855307652,1.3257444710068245
1,0,-2.1800003051757812,-0.19999980926513672,True,3,0.0,0.0,False,0.32700005877018157,0.029999972581862266,0.3283733192429231,2.189155374630268
1,0,-2.1800003051757812,-0.19999980926513672,True,5,-0.5400009155273438,-1.0200004577636719,False,0.24599991822242373,-0.12300010216236501,0.27503633377681463,1.833575485652354
1,0,-2.1800003051757812,-0.19999980926513672,True,8,0.17999839782714844,-1.8600006103515625,True,0.3539998195171279,-0.24900013005733967,0.4328012673118358,2.885341667425729
1,0,-2.1800003051757812,-0.19999980926513672,True,9,-1.2000007629394531,-1.6599998474121094,True,0.14699993717670168,-0.21900001442432426,0.2637612326476514,1.7584081477781472
1,1,1.539999008178711,-0.26000022888183594,True,3,0.0,0.0,False,-0.23099986040591602,0.03900003588199752,0.23426894439158977,1.5617929005505244
1,1,1.539999008178711,-0.26000022888183594,True,4,1.7599983215332031,-1.1000003814697266,True,0.03299989831447192,-0.12600002789497466,0.13024976129843724,0.8683317074851796
1,1,1.539999008178711,-0.26000022888183594,True,5,-0.5400009155273438,-1.0200004577636719,False,-0.31200000095367386,-0.11400003886222976,0.33217466708899157,2.2144976925970448
1,1,1.539999008178711,-0.26000022888183594,True,6,1.1799983978271484,0.6799993515014648,True,-0.054000093698505225,0.14099994266032922,0.15098673434995366,1.0065781890018675
1,1,1.539999008178711,-0.26000022888183594,True,7,0.2199993133544922,1.6399993896484375,True,-0.1979999620914441,0.28499995410442125,0.3470287579261055,2.313524960909481
1,1,1.539999008178711,-0.26000022888183594,True,8,0.17999839782714844,-1.8600006103515625,True,-0.2040000996589697,-0.24000006675720442,0.31498582937067526,2.09990544569509
1,2,-1.4400005340576172,0.8999996185302734,True,0,-2.1800003051757812,-0.19999980926513672,True,-0.11099997007846696,-0.16499992072581904,0.19886167855307652,1.3257444710068245
1,2,-1.4400005340576172,0.8999996185302734,True,3,0.0,0.0,False,0.2160000886917146,-0.13499994814395677,0.2547175382923202,1.6981168544716998
1,2,-1.4400005340576172,0.8999996185302734,True,5,-0.5400009155273438,-1.0200004577636719,False,0.13499994814395677,-0.28800002288818405,0.31807074556215564,2.1204715528210687
1,2,-1.4400005340576172,0.8999996185302734,True,6,1.1799983978271484,0.6799993515014648,True,0.3929998553991254,-0.033000041365625066,0.3943829218841334,2.6292193747517647
1,2,-1.4400005340576172,0.8999996185302734,True,7,0.2199993133544922,1.6399993896484375,True,0.24899998700618653,0.11099997007846696,0.2726205914572515,1.8174705374952194
1,2,-1.4400005340576172,0.8999996185302734,True,9,-1.2000007629394531,-1.6599998474121094,True,0.03599996709823472,-0.3839999351501433,0.3856837406819067,2.5712248357080827
1,3,0.0,0.0,False,0,-2.1800003051757812,-0.19999980926513672,True,-0.32700005877018157,-0.029999972581862266,0.3283733192429231,2.189155374630268
1,3,0.0,0.0,False,1,1.539999008178711,-0.26000022888183594,True,0.23099986040591602,-0.03900003588199752,0.23426894439158977,1.5617929005505244
1,3,0.0,0.0,False,2,-1.4400005340576172,0.8999996185302734,True,-0.2160000886917146,0.13499994814395677,0.2547175382923202,1.6981168544716998
1,3,0.0,0.0,False,4,1.7599983215332031,-1.1000003814697266,True,0.26399975872038794,-0.16500006377697218,0.31132120655494694,2.0754746278943608
1,3,0.0,0.0,False,5,-0.5400009155273438,-1.0200004577636719,False,-0.08100014054775784,-0.15300007474422728,0.17311858837368002,1.1541238766304376
1,3,0.0,0.0,False,6,1.1799983978271484,0.6799993515014648,True,0.1769997667074108,0.1019999067783317,0.20428631475766115,1.3619087109336845
1,3,0.0,0.0,False,7,0.2199993133544922,1.6399993896484375,True,0.03299989831447192,0.24599991822242373,0.24820345093129678,1.6546896071238544
1,3,0.0,0.0,False,8,0.17999839782714844,-1.8600006103515625,True,0.026999760746946322,-0.27900010263920194,0.28030348615933687,1.86868983347385
1,3,0.0,0.0,False,9,-1.2000007629394531,-1.6599998474121094,True,-0.1800001215934799,-0.24899998700618653,0.3072475179765471,2.0483167051175206
1,4,1.7599983215332031,-1.1000003814697266,True,1,1.539999008178711,-0.26000022888183594,True,-0.03299989831447192,0.12600002789497466,0.13024976129843724,0.8683317074851796
1,4,1.7599983215332031,-1.1000003814697266,True,3,0.0,0.0,False,-0.26399975872038794,0.16500006377697218,0.31132120655494694,2.0754746278943608
1,4,1.7599983215332031,-1.1000003814697266,True,5,-0.5400009155273438,-1.0200004577636719,False,-0.3449998992681458,0.011999989032744907,0.34520853151655556,2.3013901186613435
1,4,1.7599983215332031,-1.1000003814697266,True,6,1.1799983978271484,0.6799993515014648,True,-0.08699999201297715,0.2669999705553039,0.2808166357016465,1.8721108302866425
1,4,1.7599983215332031,-1.1000003814697266,True,8,0.17999839782714844,-1.8600006103515625,True,-0.23699999797344162,-0.11400003886222976,0.262992410346765,1.7532826659759064
1,5,-0.5400009155273438,-1.0200004577636719,False,0,-2.1800003051757812,-0.19999980926513672,True,-0.24599991822242373,0.12300010216236501,0.27503633377681463,1.833575485652354
1,5,-0.5400009155273438,-1.0200004577636719,False,1,1.539999008178711,-0.26000022888183594,True,0.31200000095367386,0.11400003886222976,0.33217466708899157,2.2144976925970448
1,5,-0.5400009155273438,-1.0200004577636719,False,2,-1.4400005340576172,0.8999996185302734,True,-0.13499994814395677,0.28800002288818405,0.31807074556215564,2.1204715528210687
